MaterialKey,PlantKey,MaterialPlantKey,SnapshotDate,GrossInventoryQuantity,OnShelfInventoryQuantity,InTransitQuantity
1,4,10004,2021-12-31,1753.0,1626,127.0
1,5,10005,2021-12-31,794.0,746,48.0
1,6,10006,2021-12-31,1543.0,1430,113.0
1,7,10007,2021-12-31,105.0,93,12.0
1,8,10008,2021-12-31,1028.0,915,113.0
2,4,20004,2021-12-31,614.0,566,48.0
2,5,20005,2021-12-31,281.0,250,31.0
2,6,20006,2021-12-31,591.0,520,71.0
2,7,20007,2021-12-31,25.0,22,3.0
2,8,20008,2021-12-31,749.0,663,86.0
1,4,10004,2022-01-31,1612.76,1460,152.76
1,5,10005,2022-01-31,794.0,688,106.0
1,6,10006,2022-01-31,1326.98,1260,66.98
1,7,10007,2022-01-31,85.05,77,8.05
1,8,10008,2022-01-31,822.4,714,108.4
2,4,20004,2022-01-31,656.98,575,81.98
2,5,20005,2022-01-31,261.33,237,24.33
2,6,20006,2022-01-31,650.1,582,68.1
2,7,20007,2022-01-31,24.0,21,3.0
2,8,20008,2022-01-31,749.0,666,83.0
1,4,10004,2022-02-28,1403.1012,1226,177.1012
1,5,10005,2022-02-28,857.52,772,85.52
1,6,10006,2022-02-28,1446.4082,1310,136.4082
1,7,10007,2022-02-28,85.9005,78,7.90049999999999
1,8,10008,2022-02-28,674.368,616,58.3679999999999
2,4,20004,2022-02-28,551.8632,497,54.8632
2,5,20005,2022-02-28,295.3029,255,40.3029
2,6,20006,2022-02-28,669.603,624,45.6030000000001
2,7,20007,2022-02-28,20.88,19,1.88
2,8,20008,2022-02-28,741.51,622,119.51
1,4,10004,2022-03-31,1613.56638,1477,136.56638
1,5,10005,2022-03-31,831.7944,717,114.7944
1,6,10006,2022-03-31,1243.911052,1110,133.911052
1,7,10007,2022-03-31,97.067565,89,8.06756499999999
1,8,10008,2022-03-31,586.70016,546,40.70016
2,4,20004,2022-03-31,474.602352,411,63.602352
2,5,20005,2022-03-31,265.77261,238,27.77261
2,6,20006,2022-03-31,676.29903,587,89.29903
2,7,20007,2022-03-31,22.1328,20,2.1328
2,8,20008,2022-03-31,608.0382,547,61.0382
1,4,10004,2022-04-30,1855.601337,1599,256.601337
1,5,10005,2022-04-30,682.071408,654,28.071408
1,6,10006,2022-04-30,1219.03283096,1105,114.03283096
1,7,10007,2022-04-30,79.5954033,71,8.59540329999999
1,8,10008,2022-04-30,604.3011648,582,22.3011647999999
2,4,20004,2022-04-30,479.34837552,436,43.34837552
2,5,20005,2022-04-30,255.1417056,241,14.1417056
2,6,20006,2022-04-30,676.29903,617,59.29903
2,7,20007,2022-04-30,21.02616,19,2.02616
2,8,20008,2022-04-30,638.44011,567,71.44011
1,4,10004,2022-05-31,2078.27349744,1796,282.27349744
1,5,10005,2022-05-31,702.53355024,655,47.5335502400001
1,6,10006,2022-05-31,1182.4618460312,1062,120.4618460312
1,7,10007,2022-05-31,74.023725069,65,9.02372506899999
1,8,10008,2022-05-31,562.000083264,546,16.000083264
2,4,20004,2022-05-31,412.2396029472,374,38.2396029472
2,5,20005,2022-05-31,234.730369152,210,24.730369152
2,6,20006,2022-05-31,737.1659427,644,93.1659427
2,7,20007,2022-05-31,22.9185144,20,2.9185144
2,8,20008,2022-05-31,734.2061265,655,79.2061265
1,4,10004,2022-06-30,2348.4490521072,1965,383.4490521072
1,5,10005,2022-06-30,667.406872728,574,93.4068727280001
1,6,10006,2022-06-30,945.96947682496,871,74.9694768249599
1,7,10007,2022-06-30,84.38704657866,81,3.38704657865999
1,8,10008,2022-06-30,522.66007743552,499,23.66007743552
